Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,XOM,XOM,XOM,XOM,XOM,TLT,TLT,TLT,TLT,TLT,SPY,SPY,SPY,SPY,SPY
Field,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,42.4299,43.4969,41.7742,42.9066,93036855.0,85.8021,86.6717,85.495,85.9405,31152026.0,53.2221,54.6959,53.1303,53.9062,25570210.0,58.7197,60.459,57.9646,60.3322,100474538.0,83.8122,84.2903,83.0553,83.6021,5873571.0,126.7017,127.2953,124.3846,126.2381,7632095.0,268.1396,272.1207,267.5903,271.0496,188052990.0
2018-01-02,42.9728,43.7497,42.7128,43.5243,117053610.0,86.1142,86.5236,85.5452,86.3614,19842834.0,54.0825,55.177,53.673,54.5838,32591971.0,59.952,61.7079,59.7957,60.561,46102617.0,83.5694,84.6009,82.1006,83.3633,8793509.0,126.151,126.8338,125.7603,126.2798,6376004.0,270.8355,273.4338,269.4463,271.1382,44847143.0
2018-01-03,43.6293,44.6472,41.9926,42.2521,334382494.0,85.8209,87.4304,83.2264,84.1854,102428888.0,54.4867,54.8205,51.6083,52.8238,129828225.0,61.0532,61.6809,58.9266,59.0923,125457473.0,83.1016,84.2437,78.8775,81.3083,48244726.0,126.2803,126.6814,124.1302,125.3476,18420996.0,270.9448,272.012,265.6461,266.3666,202195109.0
2018-01-04,42.4546,42.5602,40.3435,40.4907,640000000.0,83.7864,85.1972,82.9968,84.0801,14235448.0,52.8182,53.1038,51.4759,51.9581,54894509.0,58.6867,59.6847,56.6618,58.3169,57253858.0,81.4888,83.5462,79.9969,81.279,6398766.0,125.3337,125.5662,121.9843,124.1683,21633378.0,266.5768,269.641,263.8604,265.6195,36577956.0
2018-01-05,40.4221,41.0992,40.0149,40.0944,56433111.0,84.1331,85.1221,83.0332,83.2916,33829252.0,52.1303,52.2665,50.8992,51.2274,28330493.0,58.7348,59.171,58.0389,58.9858,49280115.0,80.9062,81.6905,80.4532,80.9612,10772208.0,123.8979,124.1514,121.8726,123.1185,17318628.0,267.1318,268.071,260.1671,264.9774,58334967.0
2018-01-08,39.8979,40.7791,39.0024,39.2701,322088541.0,83.0278,83.2196,81.3294,82.3366,38473382.0,51.206,51.9623,48.9554,49.5768,102090863.0,58.4296,58.7504,55.8499,56.88,199481882.0,81.1789,81.7216,79.0561,80.5524,15341108.0,123.3542,125.3493,122.307,124.6046,33048598.0,266.1416,266.5794,258.7551,260.8767,170348497.0
2018-01-09,39.1345,39.3365,39.0616,39.2198,64309415.0,82.5502,83.0469,81.344,82.0251,27225783.0,49.5886,50.3742,48.1805,48.7029,62171975.0,57.4214,57.9989,55.3815,55.9605,93789500.0,80.6656,81.0407,78.5387,79.8271,25651287.0,124.9472,126.8785,124.4498,126.1152,35470543.0,260.6779,263.2331,256.3092,259.0938,51959949.0
2018-01-10,39.387,39.7479,37.9298,38.0478,318798185.0,82.5681,83.4465,79.8694,80.6637,64921467.0,48.8548,49.3145,47.4843,47.724,64462020.0,56.1152,56.9435,53.117,54.3285,168798201.0,79.6149,80.3107,77.8889,79.7892,8946244.0,126.4058,130.2259,124.3087,127.9932,22918656.0,259.163,262.4331,253.9553,255.5383,291401659.0
2018-01-11,38.3987,38.8157,36.6518,37.5173,125867299.0,80.3522,81.2532,78.4974,79.6679,50403115.0,47.7091,48.0046,46.8987,47.3781,17380368.0,54.5321,55.9376,53.6583,54.3689,27522180.0,80.1023,80.4915,77.7529,78.8428,20094408.0,128.2211,128.7017,127.2776,128.0437,10235305.0,255.6429,256.7358,251.5715,252.8164,158840128.0
2018-01-12,37.6556,38.0342,36.4684,36.7619,147687031.0,79.3876,79.619,77.983,79.2742,22859227.0,47.0717,48.1807,46.9812,47.6289,19856485.0,54.0193,54.6386,53.1554,54.0241,42782426.0,79.0708,81.8492,78.5312,79.6957,21086515.0,127.2388,130.2839,126.445,128.6682,8657520.0,251.4214,252.6124,249.7916,251.6907,49578631.0
2018-01-15,36.5579,37.5485,36.4153,37.0251,77260014.0,78.9067,81.1703,78.5552,80.9567,90276153.0,47.5177,49.5747,46.6708,48.228,24886977.0,53.9418,56.402,53.2238,55.8447,163327759.0,79.5908,80.2233,75.3281,76.9369,122064909.0,128.3448,130.4027,127.6241,129.5284,16896815.0,251.5264,256.2664,250.7889,253.0049,45345086.0
2018-01-16,37.156,37.4618,36.7612,36.8583,102169069.0,80.8757,81.5767,79.0793,80.8059,29857357.0,47.8497,48.5965,46.9809,47.1269,93848159.0,55.7768,57.2222,54.1522,55.1816,86834185.0,77.1069,78.7607,76.9043,77.1436,9333995.0,129.0435,133.1945,127.8708,131.6442,41732829.0,253.1557,254.7835,250.3829,251.1043,122820424.0
2018-01-17,36.7052,37.2614,36.0121,36.364,93595213.0,80.8226,82.4568,78.8369,79.6774,34346122.0,47.0787,47.5374,46.0256,47.0391,16861407.0,55.1553,55.3082,54.4896,54.8577,53136325.0,76.7239,78.1882,75.1005,76.184,28300782.0,131.0575,133.3468,130.5313,132.5617,20605624.0,250.459,252.3362,247.2699,248.9101,74272510.0
2018-01-18,36.3081,37.7999,36.0253,37.0188,139500150.0,79.6842,80.3352,79.3914,80.0639,15032136.0,47.13,47.3666,46.0244,47.2512,15955001.0,55.1885,55.5661,54.3063,55.0209,29556040.0,76.3374,77.3212,73.3094,74.836,33943773.0,132.9443,133.3253,131.2944,132.7587,9412315.0,250.1317,251.7329,248.9408,249.4922,54029746.0
2018-01-19,37.0493,37.6223,36.6069,37.0502,38499234.0,80.3474,80.6079,78.7058,79.5205,32441119.0,47.2753,47.8642,46.233,46.5296,36645242.0,55.2009,56.2449,53.9794,54.4444,44709465.0,74.3903,74.9332,73.9469,74.3616,13351491.0,133.327,133.8545,130.9997,131.9123,16342570.0,248.6973,253.2443,247.3144,248.4029,72964692.0
2018-01-22,37.1083,37.596,36.8425,37.3436,64684791.0,79.6436,81.9889,78.5326,81.5443,90381855.0,46.7961,47.5794,46.5175,47.3291,42614022.0,54.4018,56.2398,53.5041,55.5845,108049771.0,74.4007,75.0046,73.4146,74.6789,11706586.0,131.9148,133.0444,128.6941,129.1724,84723547.0,247.689,253.3543,245.2796,251.9244,160552396.0
2018-01-23,37.3543,37.8863,37.0338,37.4117,44938570.0,81.5254,84.7737,80.8047,83.7828,91774261.0,47.5783,48.2045,47.2238,47.9169,25906964.0,55.8475,57.2971,54.9887,56.6559,109832468.0,74.8899,75.0544,74.7758,74.9385,22930233.0,129.3259,130.2092,126.7934,127.5126,26849875.0,252.4187,253.8963,251.006,251.5771,37307301.0
2018-01-24,37.3126,38.015,37.0032,37.94,86685921.0,83.7963,85.8941,82.8791,85.2903,73222223.0,47.9673,48.6093,47.4784,48.1043,25531141.0,56.9735,59.117,56.5061,58.3144,238978621.0,75.0424,76.2246,72.7946,73.7415,39007559.0,127.3973,128.6654,126.2662,128.0038,8126205.0,251.776,255.7489,249.0332,254.7047,94590786.0
2018-01-25,38.1177,38.793,36.9433,37.3112,128136925.0,85.319,86.9646,83.1945,83.8621,46378987.0,47.6355,48.3349,47.3592,47.493,46842676.0,58.1582,58.5259,55.345,57.084,112400742.0,74.2121,74.3824,71.0005,71.5661,81406209.0,128.3816,130.3221,127.8876,128.5832,7979457.0,254.3783,255.1389,247.0707,250.0247,328606894.0
2018-01-26,37.2245,38.2289,36.6876,37.6527,82728358.0,83.843,84.566,83.2517,83.5882,31039941.0,47.6237,48.7754,46.9597,48.3179,43824804.0,56.9231,57.9159,56.7374,56.9001,31362316.0,71.334,71.9588,70.7946,71.3975,6385753.0,128.674,130.1255,128.1992,129.3889,11847541.0,250.7396,254.1468,249.0615,249.6892,86032821.0
2018-01-29,37.8616,37.9819,37.7142,37.8328,54918927.0,83.3656,85.5389,83.2005,85.0225,62599915.0,48.1654,48.7206,47.6708,47.9985,20617715.0,57.4842,57.8639,55.2876,57.3706,43114244.0,71.5171,73.088,71.211,71.8475,10223046.0,129.219,131.0917,128.5731,130.2906,18911788.0,249.8618,253.0207,245.647,250.2928,39891680.0
2018-01-30,37.6067,37.6667,36.8147,36.9899,114449390.0,84.6208,84.758,82.5337,84.223,32151352.0,48.172,48.9232,46.808,47.5815,19635821.0,57.3057,58.3296,55.9746,56.8394,27861174.0,71.2229,72.2598,70.5547,71.7711,10913146.0,130.4753,131.1343,129.6061,129.8143,7928540.0,251.6083,254.4756,247.6223,248.4892,68969965.0
2018-01-31,37.0251,37.4084,36.9571,37.2099,63231405.0,84.2702,84.9376,83.7663,83.9482,17198327.0,47.6425,48.9921,46.8342,48.52,55131348.0,56.667,59.4445,56.2346,57.5181,47127692.0,71.6207,72.0463,70.3174,70.6376,29490337.0,129.7549,130.1411,129.3618,129.9143,9765705.0,247.2396,248.6777,245.4132,248.1329,58153719.0
2018-02-01,37.0092,38.4987,36.8615,37.7587,117492774.0,83.7834,86.891,82.8164,85.8222,93428824.0,48.6505,49.4411,48.4655,48.87,26253515.0,57.4762,59.8267,57.0058,59.0632,145505183.0,70.5501,71.9976,69.6952,71.5114,18232369.0,129.9784,131.131,128.9043,130.5646,9234573.0,247.7662,253.3235,246.8489,252.5381,144081159.0
2018-02-02,37.6201,37.9558,37.2414,37.6242,89946092.0,85.9998,86.1987,83.8315,84.965,23768277.0,48.9705,49.6881,47.5238,48.1161,57586208.0,59.3638,59.8993,57.5335,57.8997,49678954.0,71.9719,73.0315,70.8324,71.2123,12994370.0,130.7929,131.4611,129.9641,131.2507,11796224.0,253.7251,255.5822,250.0556,250.618,75775485.0
2018-02-05,37.5392,38.5416,36.8848,38.2062,125589389.0,84.9891,87.4944,84.0688,85.8719,19948079.0,48.5893,48.8161,47.7479,48.4089,17103740.0,58.0966,59.077,57.2854,58.6482,58393335.0,71.2054,75.5163,70.9009,74.6726,144000000.0,132.5002,132.8254,130.5235,131.4294,8667975.0,250.9596,254.9145,250.1079,254.4981,220442948.0
