,AAPL,NVDA,BA,AMZN,TSLA,MSFT,SWKS,QRVO,CRUS,TSM,SMCI,DELL,VRT,HON,SPR,HXL,TGI,TDG,ATSG,AAOI,ALB,MGA
2018-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-02,101.49697834982756,102.80999032728857,100.28482692152846,100.2848515481897,103.00487620687457,101.67659763640589,99.8212339637741,101.33928560805548,99.83031900345783,99.82685091232113,100.88838895002559,97.76613661662678,98.04868023484393,99.79262568975203,99.11681030311185,101.10742798250638,99.27402087033165,98.51760143161054,102.83453013699582,100.29739253288368,100.73734929064537,98.49893470429329
2018-01-03,99.21226963026965,102.85011277918885,98.76629671868692,99.2310584343028,101.44350852898759,103.96828248389622,99.2774407874396,99.19992452467831,100.53841163313975,97.47514326283357,100.6752866381578,94.29273606564023,95.49398427673741,99.47531765686047,99.60688405523334,100.74727640055468,98.49300068521684,97.46847290073612,99.92324113610593,98.59933201920066,99.42351522683734,99.4567620539511
2018-01-04,98.7440232130704,101.27062961226417,98.21020192165584,100.59038141994435,103.47120320386735,104.42452649986062,97.01166550387468,97.73453876607086,99.99892417409468,98.11572557676072,99.25481536727399,94.45666727102207,94.34121860575506,98.14039073730859,101.14898950982541,103.18650347057999,98.83213844833764,99.37655597518422,100.87135190230241,98.09121250471387,100.48130654634296,102.20116876064786
2018-01-05,96.09680064070614,103.78373870427752,98.33549786422938,100.13621356178537,103.61052709400181,102.615236145715,97.8003341928142,99.39063689764784,103.34185321077433,98.64688600050152,99.41219199504313,93.74292736710896,95.6337988964225,98.62141155124154,100.16089062588425,103.87920845994961,98.97309786198939,100.81749242382915,99.84262913272214,97.60616669555424,100.05085981020112,99.95451759835618
2018-01-08,96.68477730965971,104.04559322421659,96.63654388311927,99.90026895874647,103.48751296521644,102.00033758175734,97.69659210014514,100.19965785013454,106.33161613741018,99.55303924750255,100.48826651456304,94.00885304643663,93.25939099231013,98.97208317508124,100.45208011712594,108.02006704379038,99.07880398618252,101.67208736978985,100.17743135186103,96.28099439343376,102.19035064381168,101.47706867196364
2018-01-09,98.97226163734126,102.13006368053753,98.44318724170526,104.17092730991394,102.97362900506654,101.40086301150377,97.88317839235347,99.51847545662183,103.86645933542778,99.97959945576525,99.26241232137671,95.60665287866279,92.89577447812417,102.25215651697368,100.04830399076693,108.44218441591714,101.26796419229895,100.80069847070999,101.55125669708697,99.12123796363774,100.8332993621351,102.76196027909586
2018-01-10,98.10317787859898,101.10532404964944,99.56029267260188,105.0015199929759,103.7228637175445,102.91882375497151,97.8665485948078,100.8594567924275,105.36900692923211,99.93301746085149,103.09325739631045,96.62257752288185,91.56263103409131,103.61895062870033,98.96455675330246,110.11962647519653,103.38421423012575,99.9144948925812,103.59466224737216,100.08373565760529,102.40883938251041,106.04731032488212
2018-01-11,95.95302471305718,99.00115027790301,99.19180180657703,105.27164923751621,103.88941199672476,103.31333239897494,97.22456319913393,102.34897169828758,104.26845620189894,103.0155046870713,102.92739715400974,95.13439458008848,89.8588294880391,104.10517518065005,98.50733898953293,111.09376613844387,103.8550163245754,99.5510967742561,102.31582939568396,97.55488330188498,101.46770494878295,107.13973808331068
2018-01-12,95.53092050511194,98.8806634421706,98.17124348357518,105.82695734712493,104.28858168278839,100.81921013900903,97.00677682644198,102.44096073730705,105.15943729790294,103.65247700615132,99.60705823137361,94.07856922177947,90.81983857265979,105.21659309795146,99.82034504460472,117.99990920942206,105.05272249221856,101.5423784915409,104.41093667820132,98.79773190047226,101.3076735646061,108.67758580305477
2018-01-15,93.80669203018896,97.93730835900763,100.70857507924296,101.9237543294933,104.43667149810044,97.29465226690063,94.98038231059176,102.74746376605931,103.75934528435192,100.68339143154763,97.16763181349549,94.20275892215342,89.01893547946754,104.62453683172365,98.97640942164851,115.78282953432884,107.49890231946269,101.60684599708699,100.41181172939568,98.1973294040449,99.46317332550534,109.10279744786745
2018-01-16,93.57655314509134,98.22702528230084,97.97789278540515,100.48379923591311,102.74120181889894,95.36548622700117,96.1779601095576,102.00697660355851,100.29607378166634,100.890407091359,98.99999535418497,94.80346448548966,86.17916036936064,102.9114397803231,100.07297143751038,113.57219169315066,107.23521208733393,101.86180418861608,97.92598465211955,97.21504883071314,93.75311646258318,106.4323904515562
2018-01-17,94.68759563497979,94.88090163345838,97.07341132634474,100.4165043153918,104.69208068266474,92.10865802487096,96.43535730952223,100.5497372492289,97.30465875483196,100.2752291220525,97.97483941610759,93.70051425107492,86.0426709749782,102.04590087570524,99.86443905905189,114.33139279579706,109.50424852559644,99.70253253986661,100.53282763750018,94.11270908690992,93.24500935743352,107.0916263219294
2018-01-18,94.27745371047351,94.06447920236329,96.58138804866584,102.07497665993418,105.64761940531906,91.03989016304914,97.54787848170382,100.82795784589896,98.28941333862888,100.88358689500892,96.26631770857742,93.26660467375869,87.33170260004411,103.36509480949528,100.10494838851372,114.89982587448836,112.0159338790369,99.19388327824217,101.42531200799563,94.18225956722158,93.31041739181254,109.2606124863089
2018-01-19,97.70870571514178,95.67562791521487,98.56461835259891,102.65180182622586,107.2500287720226,92.39282736676009,99.3729010060835,103.460935311853,98.7856358736342,105.53239577415687,96.07536239316593,92.5290679391523,89.74875237815236,105.65772605874382,101.65910959978419,116.91303078874013,113.14968014517775,98.88104368634225,102.5962846802285,94.19615809178624,95.68854892360284,110.14552898785983
2018-01-22,97.1338774575974,93.71112776859964,96.4120388137431,102.05122122124216,106.62460368323867,90.5744255857768,97.84904038009903,102.90490820805597,95.88088012968005,101.88612084893305,93.65064929429994,91.35323874182838,89.31415724881838,106.99158901413855,102.0639519232867,115.5600486970504,112.0418079242756,96.45411656274499,101.72484925608838,92.89287455978803,95.43542219369452,107.73175244634004
2018-01-23,98.81066726266192,96.04638520496853,98.04953154447307,102.11386547489066,107.69016150069625,92.3028533174583,100.06318806745583,103.85357176286755,97.97873334021872,104.50699227590187,97.35362753593604,93.27359532248913,92.79114801552642,106.46967812924282,104.01129259394007,116.60498490204974,116.46512911071619,95.92436006452627,101.2177820886035,92.6737652094382,93.1101702329952,107.59663882094479
