timestamp,price,volume,side
2024-05-06 09:30:00.234634045,100.16,118.0,sell
2024-05-06 09:30:01.739694760,100.1,80.0,sell
2024-05-06 09:30:02.398067607,100.39,107.0,sell
2024-05-06 09:30:02.854538884,100.43,99.0,sell
2024-05-06 09:30:02.939351319,100.55,102.0,buy
2024-05-06 09:30:03.024149465,100.45,127.0,buy
2024-05-06 09:30:03.054068850,100.47,89.0,sell
2024-05-06 09:30:04.059684282,100.34,151.0,buy
2024-05-06 09:30:04.519225359,100.2,176.0,sell
2024-05-06 09:30:05.134850390,100.25,164.0,buy
2024-05-06 09:30:05.145250044,100.24,155.0,sell
2024-05-06 09:30:06.897028781,100.24,85.0,sell
2024-05-06 09:30:07.790243553,100.33,172.0,sell
2024-05-06 09:30:07.909587365,100.22,93.0,buy
2024-05-06 09:30:08.009926860,100.22,155.0,sell
2024-05-06 09:30:08.111232571,100.2,195.0,buy
2024-05-06 09:30:08.292609436,100.27,63.0,sell
2024-05-06 09:30:08.664573351,100.24,93.0,sell
2024-05-06 09:30:08.947341885,100.27,67.0,sell
2024-05-06 09:30:09.119453381,100.28,88.0,buy
2024-05-06 09:30:09.592638818,100.29,79.0,buy
2024-05-06 09:30:09.667756082,100.21,93.0,sell
2024-05-06 09:30:09.840513838,100.15,40.0,buy
2024-05-06 09:30:10.068652447,100.12,86.0,sell
2024-05-06 09:30:10.373119791,100.02,111.0,buy
2024-05-06 09:30:11.142087797,99.89,129.0,sell
2024-05-06 09:30:11.253455728,99.72,186.0,sell
2024-05-06 09:30:11.614470305,99.53,124.0,sell
2024-05-06 09:30:12.063222666,99.49,99.0,buy
2024-05-06 09:30:12.087004591,99.35,111.0,sell
2024-05-06 09:30:12.554671101,99.18,200.0,buy
2024-05-06 09:30:12.648151727,99.27,136.0,sell
2024-05-06 09:30:12.681783693,99.37,123.0,buy
2024-05-06 09:30:14.168627589,99.3,106.0,buy
2024-05-06 09:30:15.853942761,99.25,101.0,buy
2024-05-06 09:30:16.680108547,99.16,78.0,buy
2024-05-06 09:30:16.861752477,99.15,158.0,buy
2024-05-06 09:30:16.913141135,99.18,86.0,sell
2024-05-06 09:30:17.489516516,99.08,69.0,sell
2024-05-06 09:30:17.779561937,99.25,77.0,buy
2024-05-06 09:30:17.844638054,99.19,115.0,buy
2024-05-06 09:30:18.186411669,99.19,224.0,buy
2024-05-06 09:30:18.203908529,99.25,55.0,sell
2024-05-06 09:30:19.404119973,98.99,166.0,sell
2024-05-06 09:30:19.553848861,98.99,47.0,sell
2024-05-06 09:30:20.096976761,99.03,174.0,sell
2024-05-06 09:30:20.283750051,98.98,112.0,sell
2024-05-06 09:30:20.650805499,98.98,101.0,sell
2024-05-06 09:30:21.046417398,98.8,109.0,sell
2024-05-06 09:30:21.148611698,98.95,103.0,sell
2024-05-06 09:30:22.895015265,99.14,73.0,sell
2024-05-06 09:30:23.641137953,98.99,111.0,buy
2024-05-06 09:30:25.043685163,98.95,93.0,buy
2024-05-06 09:30:26.169761162,98.81,77.0,sell
2024-05-06 09:30:26.625288368,98.88,235.0,buy
2024-05-06 09:30:27.900006057,98.85,59.0,buy
2024-05-06 09:30:27.946333787,98.81,168.0,sell
2024-05-06 09:30:28.055401134,98.9,103.0,buy
2024-05-06 09:30:28.078542117,98.83,102.0,buy
2024-05-06 09:30:28.275308160,98.68,81.0,buy
2024-05-06 09:30:28.521373306,98.63,151.0,buy
2024-05-06 09:30:28.679653528,98.51,120.0,buy
2024-05-06 09:30:29.561932460,98.5,68.0,buy
2024-05-06 09:30:29.782545960,98.31,160.0,sell
2024-05-06 09:30:29.947447380,98.57,53.0,sell
2024-05-06 09:30:30.338650922,98.53,86.0,buy
