Date,SPY,QQQ,AAPL,MSFT
2018-01-01,269.0383816632814,155.67825989250227,43.24317967297512,86.5563059558246
2018-01-02,263.2603054724264,150.60439404780516,41.8504095350583,83.58510018659688
2018-01-03,263.318597109708,149.84179115095907,41.998448979778004,83.74169361990978
2018-01-04,263.62438801672903,151.1223893598945,42.53571510748091,83.81998598192573
2018-01-05,264.83803832650324,151.01401474263375,42.88563556986118,83.82880070205516
2018-01-08,264.39236361044306,150.0834788643423,43.11919109218807,83.27272808396667
2018-01-09,263.2197802038421,148.99495481548058,43.01802813906515,82.92714817787916
2018-01-10,264.5634745916629,150.28675579459946,44.27640748035063,83.37239070356318
2018-01-11,263.13963431204127,148.59972228400767,44.03389523966395,83.2171189004985
2018-01-12,262.9081370204045,147.6721195349306,43.442296440131884,83.18937115023134
2018-01-15,265.2424456995455,149.7019771385522,43.79234632080781,84.47479141748154
2018-01-16,265.7030401220233,150.2167322185436,44.308264339449316,84.90766595849311
2018-01-17,267.8666697033916,151.69755440667947,44.89446259503478,86.19106414042832
2018-01-18,263.5857300830477,148.6209157459177,43.75950646154042,84.01782651126622
2018-01-19,262.8729278392965,149.57265633763333,43.66584305075599,85.06696223568326
2018-01-22,258.0106095796822,146.09440738364222,42.6758973903678,83.44830911407355
2018-01-23,260.2069205128131,148.2748399935638,43.1919740474711,84.36144331827553
2018-01-24,262.85895602335347,149.8413664825503,43.1724516696016,84.56710091698082
2018-01-25,260.2398993062921,148.5999033689621,42.84411383365312,84.25350523436481
2018-01-26,259.0888907538609,148.00076073928088,42.912252827777394,83.6974869634197
2018-01-29,260.5415786718938,148.34242138731423,42.89815534766637,83.72447408363102
2018-01-30,257.13849150388404,146.5746993137163,42.16785774207804,82.66762179186597
2018-01-31,258.6505380545939,147.99137949671606,42.855468919974626,83.39289943112628
2018-02-01,257.5181053699045,147.18066044729102,41.955314227744246,82.0205010936847
2018-02-02,253.78918209991136,143.83186414638106,41.13499558581562,79.64359295795998
2018-02-05,252.80738511073227,144.380045208311,41.13468389951654,80.29934437883618
2018-02-06,250.24828134759667,142.52357027686864,40.23292998555382,79.05778609606044
2018-02-07,252.74817918579834,142.60605562216915,40.473497125048006,79.41898651807287
2018-02-08,251.15456122203,140.2933860357641,39.853057406211335,77.91511875840543
2018-02-09,251.92180365147712,140.81371634035025,40.613472555186895,78.07466592527116
2018-02-12,249.11764890388326,139.1780218805089,40.199297774464924,77.94557024844609
2018-02-13,251.59142607875273,141.0941320480643,41.33712298658376,78.3054982889388
2018-02-14,249.87586408687787,139.17933349601603,40.63027391768902,76.48790783605902
2018-02-15,251.78563996078555,140.21430741001328,40.406937471948275,76.50212243157938
2018-02-16,252.78641130676456,141.6109171426687,41.57773437793108,78.9730837393151
2018-02-19,254.08167593769213,141.5662298562754,40.78399497253092,79.21216909243597
2018-02-20,251.85406013915227,139.78057709002258,40.03123861744461,78.14562074276463
2018-02-21,255.02173524168992,141.95297220288495,40.63025359712033,78.76008486217613
2018-02-22,250.32787605962434,138.53417415576195,39.598023400668495,77.9140938966192
2018-02-23,250.80121213414114,139.7076735943928,39.747426820398495,77.79906603168699
2018-02-26,248.17376127506768,137.40284970171612,39.8601032646453,76.06684400382404
2018-02-27,250.64776573582483,138.1967504628123,40.482064587492104,76.83625216987991
2018-02-28,250.30606466728597,137.95235908217737,40.169433447337674,76.97321094654538
2018-03-01,249.12064688396723,136.1510902565483,39.18819449035858,76.15766248167172
2018-03-02,253.72586723921265,139.19789142335213,40.07193336388508,78.07973055088254
2018-03-05,257.61725969848345,141.86019461867514,40.7259436474197,80.28882274176611
2018-03-06,258.97940462673483,144.12224554299343,41.4454403802604,80.7052193281071
2018-03-07,255.09779395936184,143.13349042835142,41.76843145170576,79.87809302870278
2018-03-08,254.09645684941583,143.816856202353,41.51582007345177,79.59277791923688
2018-03-09,256.0622275367193,144.74409851337506,41.81403866164223,80.06651729515373
2018-03-12,257.1501438473676,146.75845680234326,42.43031050659478,81.49352757468598
2018-03-13,251.3446914693195,142.91879251598235,40.946420448228295,78.57077143926742
2018-03-14,248.95691832135614,141.06848700391726,40.74737016695253,76.77299807918361
2018-03-15,249.14600646113624,140.76856173318578,40.55229918735221,77.25192485840624
2018-03-16,250.77413068129093,143.03799180929678,41.15272761481036,78.00173385732926
2018-03-19,250.2414472040091,142.9153705049362,41.182658412984594,77.27098093061771
2018-03-20,250.6015438468638,143.36644885951065,42.29580122610012,78.63846805854436
2018-03-21,248.29094841145826,141.59811031731672,41.19746438121184,77.32244813089008
2018-03-22,249.28374023813763,143.34491565945984,41.42555797516097,77.81071960186976
2018-03-23,243.3877139520231,139.31759891213983,39.81519784225391,75.2757556182876
2018-03-26,241.07906268035836,137.72470399859756,38.70778280772115,73.57033572951529
2018-03-27,247.0721102233935,140.53000182596526,39.18025286735326,76.30928392898826
2018-03-28,255.45148485349014,144.95645849998482,40.38374457833215,79.11118062105015
2018-03-29,260.61546377298663,147.41809760954393,41.04806863567662,81.0817949104318
2018-03-30,262.0113152255297,147.9828468982262,41.17985617114815,80.5882923335414
2018-04-02,261.41232735924916,147.35405657911548,41.09749459304582,79.92677491776118
2018-04-03,262.92205202162506,149.29328281418614,41.70654600158808,81.14332872538246
2018-04-04,263.1889559389544,149.47607392231714,41.488541399381496,81.45373393641809
2018-04-05,263.0070969139627,151.35332530283728,42.602785738228704,82.55957754518421
2018-04-06,260.8487312513234,148.8845975253592,42.37340531369018,81.45197746795733
2018-04-09,262.3808002909609,148.25660163697572,42.60599926742637,81.55761547847736
2018-04-10,259.2045942571366,145.76808069413534,41.97425931960351,80.23361567217202
2018-04-11,258.4537300678373,145.19583381406318,41.71239444177793,80.02215639837054
2018-04-12,262.9105182246515,145.7061157574921,41.85424003422607,80.67212421135002
2018-04-13,263.9030763054799,146.00378326826382,41.28369567754637,81.09190877976815
2018-04-16,269.2337915454073,147.96854612428172,42.25712400637865,82.16419455449241
2018-04-17,269.15748859097783,146.94825246901692,41.856206710608504,82.51337748933287
2018-04-18,271.05324075643927,149.77714403803256,43.131985657745695,84.27328065515344
2018-04-19,276.580391496368,153.72901286087844,44.66906201397446,86.33170848863344
2018-04-20,276.9032006329626,153.2674680672083,44.96626404420512,85.36535407790483
2018-04-23,279.485639694629,154.73471543208274,45.929664249359284,86.73606335705527
2018-04-24,285.43290834799944,159.2695554848981,46.65023168895607,89.24403190686519
2018-04-25,281.78083749636886,156.42429648454916,46.44081890549161,88.09646332049486
2018-04-26,279.6716888578854,154.09759683712986,45.764715344441306,86.04917534293303
2018-04-27,277.66580902193664,153.13732539774387,45.95109476582622,85.87684688947706
2018-04-30,270.6562020990318,148.99449304393093,44.66822798339834,83.73145475920022
2018-05-01,275.7755715925025,150.27756770988051,44.897343842282126,85.0747540795495
2018-05-02,270.98560421235027,148.66740736479704,44.50453933587031,84.55029312883234
2018-05-03,269.34786177677245,148.403648216609,44.845970400688834,84.47604594207404
2018-05-04,270.17596574436425,149.19135573008086,44.73653051764422,84.82468535902879
2018-05-07,269.8202329870334,149.3350075093054,45.19451166905945,84.19013301298116
2018-05-08,269.5490477346712,150.57301037025596,45.238618189884015,84.23663365693685
