Date,SPY,TLT,UUP,GLD,USO
2018-01-01,273.67516205539573,123.45341667987717,23.82014825034404,124.15846931496726,95.38254414801627
2018-01-02,278.51040717988013,123.79900762081706,23.85295619476199,125.79253485244777,95.12822584846231
2018-01-03,274.5041842151552,124.72016427148803,23.931665779177706,124.72097343123124,94.77538786739979
2018-01-04,279.23959328572414,123.52932198189615,23.911707920300355,124.98838438960978,97.13728138413973
2018-01-05,282.61363672336734,123.75447566805613,24.048061391786653,123.67548685545128,95.99064837240797
2018-01-08,285.370215781391,122.93644291392864,23.959541865390648,123.9136319168303,97.65768369237735
2018-01-09,283.881278440987,123.786553633761,24.14095872905527,121.45171026273948,91.38916776414541
2018-01-10,286.43330073393275,122.61078254809784,24.291333185794713,123.51018190531464,92.42032160386069
2018-01-11,285.3076028249203,122.75826582299585,24.339062432589742,123.30271034239419,90.25261656702037
2018-01-12,286.7690498263404,120.41810469747502,24.3723750654865,122.6066112031247,93.88521052835029
2018-01-15,287.41906321597025,120.87064216642487,24.258479771039845,123.52957737414245,95.71764801363553
2018-01-16,290.8857203229103,120.58924305463117,24.41821583825124,124.17633550373303,95.0080641804142
2018-01-17,282.975815155736,120.40140778016762,24.503216810911162,123.73564814623494,93.0897733713375
2018-01-18,281.74714143967566,121.26304194396971,24.449597592566988,122.030438985862,91.40783197529443
2018-01-19,285.1357992906425,119.94807283957338,24.495788499150674,122.14028491535905,92.41983360041154
2018-01-22,286.57863060426104,118.81652661526891,24.491471681244057,123.46319512982981,93.35504132056764
2018-01-23,283.1354883385112,120.80499920967165,24.368129937500186,126.4149701373405,93.04237379172278
2018-01-24,285.2442021009373,120.93592150206204,24.354751311222856,127.80033848504543,93.50055646255883
2018-01-25,282.7290745120225,121.31082594493314,24.175822424901646,128.62282913178183,89.77549736526697
2018-01-26,282.92334257041745,122.08624282463053,24.255214174457212,128.38918389193165,84.19239486476434
2018-01-29,281.5382183238437,123.67336590883788,24.201950600179977,129.79184541732855,82.54342422403292
2018-01-30,286.80133375035376,120.76981750574005,24.09357254587742,129.16627732863097,85.29652830296722
2018-01-31,287.07075688400755,120.9362702406667,23.829009516225863,132.8591001882136,86.77933353939014
2018-02-01,285.15814576399424,122.69022535059882,23.723848791058536,134.40686599828302,88.14060156217892
