Date,STK_01,STK_02,STK_03,STK_04,STK_05,STK_06,STK_07,STK_08,STK_09,STK_10,STK_11,STK_12,STK_13,STK_14,STK_15,STK_16,STK_17,STK_18,STK_19,STK_20
2018-01-01,62.93066025558459,149.69510866373346,142.07464253291337,99.46948072745637,41.34061879410462,53.674685420395804,49.59170146974439,130.8765405847793,84.66270914703786,109.66778035999158,105.03732311170819,66.22141841354765,61.76630450180209,102.99910871727765,130.63183396617174,52.755434565348175,61.285963907960635,25.443384687278463,105.56361826966388,148.44936811845375
2018-01-02,62.85668179028893,145.88848014015608,143.72746628936488,98.83128644329064,40.903035453566076,54.69265405433525,49.40991264393853,135.22323194530554,83.49674746208055,110.8433873205909,100.5310442330047,64.11360109496606,61.08817546486177,104.61243339825886,132.14506203091477,52.51547928084185,60.85053935722988,25.340943781013053,107.04318184574981,148.51966186648426
2018-01-03,64.18306669518712,151.65933200329172,149.76466759007445,99.18497898093973,41.498564031082275,54.710552802436595,49.71776794662391,142.06037697412523,85.4187227670309,113.84707551961637,107.04401462321752,64.50459083021805,61.81950744527347,105.94772033088122,139.44271729172107,54.72312165337095,62.463816519857986,25.261534264743602,110.82888940352707,150.9610160474219
2018-01-04,64.02720374227957,157.5996293455001,156.0705753497198,103.92162960697391,42.41839140177999,55.51373691735729,49.95894703940103,147.9768846231786,86.48828375071704,117.84088538646789,105.64919416726838,64.65897042787039,63.52186382191681,109.02569819271496,142.51885332243822,56.39453733051844,63.444287784760434,25.50150479596281,115.98069982511326,152.67736256672313
2018-01-05,64.20565615245229,157.20874306801335,157.3565643626854,106.43305556700828,42.70803272226885,56.645016940468864,49.88322126872688,149.31569089244496,87.01026737732705,117.26512123713856,108.02341695702859,64.84412090537104,64.08103156650478,107.28094379122062,143.71868920293826,55.725197161419864,64.29863296151,25.2716723600151,114.3702857934729,150.3792547490233
2018-01-08,63.81652801685899,159.53897526822126,157.5547722149531,105.67166897374076,42.813000155093704,57.693980566915265,50.42485239463301,154.31996752016207,88.15364136239178,119.87856402621199,108.77010969597191,64.81649944357966,65.42403994065849,107.17882286790875,145.10766933011425,56.410825162996495,64.71067971864483,25.564395796400493,115.93280816760138,145.22667205123847
2018-01-09,64.2496770731725,155.2979533407151,151.5105437761967,103.70135754315554,42.98469760722601,56.7993479051999,50.85609586346253,151.03437997733624,86.83365402210008,120.62555905455208,107.5192107239123,64.15461217342501,64.36885117049383,106.23682788801409,145.59820537328096,55.60972311395233,63.93832197873845,24.93064269484788,114.63412902472912,142.6888389589741
2018-01-10,64.12777911407,161.9380211879048,158.2582164674379,106.87630075377432,43.10751266359135,55.779233762884004,51.47495921332573,153.00060763210968,86.46078480638946,124.19105649208925,109.75169944899406,65.48531785849927,64.03361755616635,105.84189564710215,151.7730742881191,56.91450577920295,63.65884997408444,25.79785578470013,115.99732504101362,143.3509634205782
2018-01-11,62.70161951337628,155.57352007610595,152.79909962356464,106.2500325459786,41.86099784034177,54.598667859289804,50.3205619228481,147.79498228617194,83.1542427318005,121.24510867812981,111.87204751098093,63.92553278840633,62.47214977387251,107.88660485920663,147.8738243372685,52.79064949479034,63.8579192449026,25.914104187847773,112.16638763473273,142.70174559871273
2018-01-12,61.73396904939559,156.2363215456886,153.6380435317683,103.0305122883896,41.264904402850455,54.97146534490442,50.64788339614249,152.14948899596712,81.13779155742527,120.26785595129213,112.72235872214205,64.10795241155256,61.87893727955711,106.19400902531856,146.77796027382334,51.775917312206005,64.4848009061698,26.47227840747866,112.15591850110454,144.3012603383735
