,Portfolio_Return
2018-01-01,-0.004279338532794609
2018-01-02,0.00041807390219115157
2018-01-03,0.008361457821408288
2018-01-04,0.008273272139569535
2018-01-05,-0.002390726844628502
2018-01-08,0.007974203871972736
2018-01-09,-0.012090834091765207
2018-01-10,0.009884603655676838
2018-01-11,-0.004440406064105195
2018-01-12,-0.009447348409804275
2018-01-15,-0.003597884567348304
2018-01-16,-0.009867670812603332
2018-01-17,-0.0021214437549199883
2018-01-18,0.0055560120899358495
2018-01-19,0.0037321450203792765
2018-01-22,-0.0006313538200882041
2018-01-23,-0.009528441603288744
2018-01-24,-0.0025663802736291966
2018-01-25,0.020438595249990792
2018-01-26,-0.00533503625130141
2018-01-29,0.018447601388746654
2018-01-30,0.02257852318029089
2018-01-31,0.0020019469912335693
2018-02-01,-0.01710133114396669
2018-02-02,0.009241632199878955
2018-02-05,0.011673700714488765
2018-02-06,-0.017992485959576823
2018-02-07,-0.0006519149854238717
2018-02-08,0.012068152359911261
2018-02-09,0.0015782905705636601
2018-02-12,-0.0003222112776775744
2018-02-13,0.0012278054121643996
2018-02-14,-0.00632533244643541
2018-02-15,-0.007766954099736417
2018-02-16,0.01312386969841014
2018-02-19,-0.0004663484603743298
2018-02-20,0.01773896252976443
2018-02-21,-0.011199557178293873
2018-02-22,0.0033425393603960384
2018-02-23,0.01024160553891354
2018-02-26,0.002553864935863067
2018-02-27,0.018796230830126884
2018-02-28,0.007818060388280626
2018-03-01,-0.004932050573672118
2018-03-02,0.00981381086768134
2018-03-05,-0.01360346642683345
2018-03-06,-0.001820036394381195
2018-03-07,-0.016422580334044413
2018-03-08,-0.018355102060186625
2018-03-09,0.006676060519839137
2018-03-12,0.00928235867668362
2018-03-13,-0.009672924507483284
2018-03-14,0.007845888485888308
2018-03-15,-0.0010735422250210615
2018-03-16,-0.0025289198921752878
2018-03-19,-0.020211630237217483
2018-03-20,-0.026752187041856782
2018-03-21,0.00701567597855454
2018-03-22,0.02027356100161632
2018-03-23,-0.013495361710587859
2018-03-26,-0.0205470327513765
2018-03-27,0.0034053055005269146
2018-03-28,-0.01968728246679107
2018-03-29,-0.005594565290703552
2018-03-30,0.010329821237184646
2018-04-02,0.016421418147167605
2018-04-03,-0.016899029232027997
2018-04-04,-0.009394584176946842
2018-04-05,-0.011892205981613906
2018-04-06,0.00036890664967710173
2018-04-09,0.02020558764772954
2018-04-10,0.0045065314354539535
2018-04-11,0.005731290184312131
2018-04-12,0.0014730830002688006
2018-04-13,-0.020304152920221682
2018-04-16,0.01984332302500538
2018-04-17,-0.0030173951370208022
2018-04-18,-0.03247848003021219
2018-04-19,-0.008532385429363512
2018-04-20,-0.009331073326875942
2018-04-23,0.0008151845571905809
2018-04-24,-0.0032722638929226877
2018-04-25,-0.02516049906494007
2018-04-26,0.004550773188518528
2018-04-27,0.0030965448474698253
2018-04-30,-0.010030307463548173
2018-05-01,-0.002934841788563425
2018-05-02,0.005998733082368247
2018-05-03,0.009287027940758377
2018-05-04,-0.005743238412714499
2018-05-07,-0.004427255966286007
2018-05-08,-0.019235089880750594
2018-05-09,-0.0003518892768618261
2018-05-10,0.02887010004500368
2018-05-11,0.03471326738413311
2018-05-14,-0.0031062483233553614
2018-05-15,-0.007802915406037857
2018-05-16,-0.010892383272431472
2018-05-17,-0.020948234357476652
2018-05-18,-0.007008472676325879
2018-05-21,0.009243348573473273
2018-05-22,-0.006318192815149782
2018-05-23,0.005056962138342449
2018-05-24,0.010195485405369265
2018-05-25,-0.002608402318331966
2018-05-28,-0.015782023289432637
2018-05-29,0.005744882724604772
2018-05-30,-0.002962143581437366
2018-05-31,0.0014738807669342942
2018-06-01,-0.013050017100186743
2018-06-04,0.023114266667321446
2018-06-05,0.008814369586635878
2018-06-06,-0.01310351388401578
2018-06-07,-0.0017508025874751016
2018-06-08,-0.015819588480927797
2018-06-11,-0.0038955725688645895
2018-06-12,-0.012875890110829801
2018-06-13,0.017184280471491356
2018-06-14,0.0008438202094693474
2018-06-15,-0.009063095309335419
2018-06-18,-0.0010937710088995078
2018-06-19,-3.7332341863895863e-06
2018-06-20,0.02049907022278665
2018-06-21,-0.000604213967522087
2018-06-22,0.008847081071180204
2018-06-25,-0.001943820684893878
2018-06-26,0.004033162712689637
2018-06-27,-0.011641064204094121
2018-06-28,0.001139640882081348
2018-06-29,-0.002164421810013184
2018-07-02,-0.02495524312897323
2018-07-03,-0.001425809212771034
2018-07-04,0.015675192020289937
2018-07-05,-0.006988139111909109
2018-07-06,-0.005388956808085401
2018-07-09,-0.02214865026352024
2018-07-10,-0.0049553553464290415
2018-07-11,0.007681179375575204
2018-07-12,0.009818425204028591
2018-07-13,0.014490626048002492
2018-07-16,0.011154611589441435
2018-07-17,0.013795376596722161
2018-07-18,-0.0067055017856877
2018-07-19,0.006783543431985572
2018-07-20,-0.024183175756296048
2018-07-23,-0.032567926379131744
2018-07-24,0.012750344001102122
2018-07-25,-0.015322320356600173
2018-07-26,0.020075052792767466
2018-07-27,0.00907324152709959
2018-07-30,-0.00039082710672025704
2018-07-31,-0.0045259370048099335
2018-08-01,0.012495037026863682
2018-08-02,0.006400474902644404
2018-08-03,0.009730419008135824
2018-08-06,0.021597962324921827
2018-08-07,0.003275447094959467
2018-08-08,0.024522995137744474
2018-08-09,0.014861033780258092
2018-08-10,-0.02146172544317761
2018-08-13,0.0009858956018623144
2018-08-14,0.0002351184273229987
2018-08-15,0.02132721224097204
2018-08-16,-0.03030507910637757
2018-08-17,0.019659893479855327
2018-08-20,-0.0075140340838584264
2018-08-21,-0.011587106999915357
2018-08-22,-0.0018415812488427716
2018-08-23,-0.0030138346290996708
2018-08-24,-0.025977652957740193
2018-08-27,0.0076390707541646495
2018-08-28,0.016950679301870372
2018-08-29,-0.0010830313708280128
2018-08-30,0.006307741064292175
2018-08-31,-0.010866457627079678
2018-09-03,-0.008808055128772163
2018-09-04,-0.016822638819145752
2018-09-05,-0.0004654025783425433
2018-09-06,0.009232195151666962
2018-09-07,0.003216161037306817
2018-09-10,0.012048534685895278
2018-09-11,0.004491580651574571
2018-09-12,-0.01058316166373801
2018-09-13,0.011825477167760692
2018-09-14,0.0026439680561698023
2018-09-17,-0.00786034140808528
2018-09-18,-0.010802569759993153
2018-09-19,0.011001526593789496
2018-09-20,-0.013792856068229423
2018-09-21,-0.0037518931040111604
2018-09-24,-0.01628421580272266
2018-09-25,-0.006614595529160147
2018-09-26,-0.0018612377571437261
2018-09-27,-0.0014403795219958032
2018-09-28,-0.007372826997820509
2018-10-01,0.012490005752032969
2018-10-02,-0.01079606267753576
2018-10-03,0.021096629276417523
2018-10-04,-0.023575119823941636
2018-10-05,-0.004006045147215282
2018-10-08,-0.002761185032646911
2018-10-09,-0.0010337804850906575
2018-10-10,0.004764950577157385
2018-10-11,0.011696627072755757
2018-10-12,0.0016512624553000435
2018-10-15,-0.022041202970853126
2018-10-16,0.000720188989379083
2018-10-17,0.013661298221763969
2018-10-18,-0.009880546614088537
2018-10-19,-0.0017313061567462676
2018-10-22,-0.001763233903783116
2018-10-23,-0.008959021554420497
2018-10-24,-0.010941808153704649
2018-10-25,0.0032676029325963405
2018-10-26,-0.014799554124832488
2018-10-29,0.00639478670850963
2018-10-30,-0.009777166098934434
2018-10-31,-0.005963242248830057
2018-11-01,-0.0028048941777810907
2018-11-02,-0.0012915955171677145
2018-11-05,-0.0030054532932270537
2018-11-06,-0.006336167835013205
2018-11-07,0.003956483914202761
2018-11-08,0.0010351143667529632
2018-11-09,-0.0020177902945799873
2018-11-12,-0.013451105087304826
2018-11-13,0.006791267372437095
2018-11-14,-0.012663783903204127
2018-11-15,0.018360987741526426
2018-11-16,0.021524213800438338
2018-11-19,-0.0157817021130164
2018-11-20,-0.003742376593962428
2018-11-21,0.0014952999496913207
2018-11-22,-0.015001179471440057
2018-11-23,0.006986099318563075
