,AAPL,MSFT,GOOG,AMZN,NVDA,JPM,XOM,TLT,SPY
2018-01-01,42.76552809836133,84.86446782576151,53.064662708262624,59.459524425918836,14.339763260551663,105.45540208694918,83.72234767862437,124.68813562821812,267.16381045179116
2018-01-02,42.159400947498554,84.92632364511915,53.37119379248728,59.44666076737734,14.575396301386064,105.8780358485097,82.7883101739807,125.14205647645483,266.6538004245896
2018-01-03,42.849441687053684,85.82532537298715,53.797246528808685,59.557201073972614,15.112558047373424,106.11732652729042,82.50010351292279,124.63780156786252,268.48834799550707
2018-01-04,43.1630500357865,86.66592732061763,54.45535451880315,61.70526312105423,15.320572004509623,105.9106797267531,81.62530286256667,125.12849870710868,269.9391569987435
2018-01-05,43.11398105624907,85.79067219939186,53.61476295471946,61.641041076212886,15.381417105999834,106.37729937689937,80.9525570574515,125.56672571498437,268.8706542742244
2018-01-08,43.31792398957553,86.92972532479814,54.23227082950434,62.76948239898462,15.655810594143066,107.1517882159148,81.96623761147809,123.81123508553755,272.0491303192802
2018-01-09,41.354843374854774,85.88528472809384,53.58224309935286,63.301679711733954,15.263735307604511,108.18409847705394,80.37936125511466,123.59931283641617,270.59620539913885
2018-01-10,41.81855547698242,87.24146279461266,54.691206099089875,63.997235104164645,15.45765653807622,109.97229168901619,80.91814581165549,121.92813888180052,258.55336300433646
2018-01-11,41.1768665514044,86.85771315586372,54.442973094866666,64.12206544764119,15.200171352242926,109.86638265763617,81.45766848759946,121.7291759220394,257.8793985187122
2018-01-12,40.732063320453584,85.89022505109168,53.71552214347096,62.45857245810015,15.026675377102748,108.70260780789161,80.97156650276403,122.51637655075845,254.88547026411433
2018-01-15,41.245666372333474,86.53621347066071,53.85987839208806,62.80735345488297,14.741483417828823,107.12290489550773,79.20030916534171,121.41071768467835,254.1676871905683
2018-01-16,40.62293379737258,85.30889742999484,53.978400112882674,62.02856359886732,14.707631856843124,105.44989159677735,78.31079792812918,120.69163557597108,251.83174316170738
2018-01-17,41.26049686038828,84.54716579041934,54.12586647990585,62.28735481890217,14.6171797408333,103.80315942882665,77.95721163920514,120.20650186976775,251.3177318264942
2018-01-18,41.31242119417355,86.17528016798468,54.6310045817087,62.149831537985165,14.28522326463041,104.366445546105,79.63083886064953,120.87538730873786,253.33164660524042
2018-01-19,42.41477097374669,86.56642557023123,54.718947423073,61.9507645645373,14.374258479953188,103.08864866709875,80.08380012771616,120.57258548768675,254.0969668620088
2018-01-22,41.69201838320446,85.90682260495757,54.758759502904184,63.09050574473416,15.051747710934405,103.27627401416267,78.8405821963488,118.58321053978345,254.4656241754217
2018-01-23,41.13059711359204,84.74586528424693,53.77809865837243,62.09304442280911,15.0260072283764,102.9071155856128,78.36448357114456,117.84864964375649,252.42270344722397
2018-01-24,40.81370028402547,84.27530491408297,54.541524409869474,62.25152570607643,15.27549691897589,102.21657406217282,76.83466459430905,116.95598862925878,251.74775729422137
2018-01-25,42.38158686871237,85.67079616959673,56.04948848396335,63.05590222039034,16.07034734904241,103.79947319852832,77.47773374445045,116.5044800709963,256.53026952839764
2018-01-26,42.75204389369659,85.74643237148001,55.43496969461626,61.968823189017954,16.068199005289554,105.88418073713672,78.34729831623137,110.10344554006834,257.5928005575216
2018-01-29,43.77419059795929,87.34891675337434,56.10584203805594,63.84148374704217,16.68496908387673,108.74202671356544,79.63104335153521,108.60873217529478,263.22647938319875
2018-01-30,45.0870944653231,90.83009652498781,57.723899648677765,65.53221974879277,17.90364220291431,108.45942656430735,78.87555656797346,108.78015645881841,267.5676274604396
2018-01-31,45.12238299056082,90.7279659892642,57.9049017217866,66.73462426352725,18.038512311581858,109.45752223203412,77.01930403294612,108.71412781895496,267.72057320990524
2018-02-01,44.19174170121648,88.5903613740457,56.598653132961836,66.09668207000443,17.098609605795918,108.72007853402856,76.11712745518619,108.75460084687118,263.6420219145122
2018-02-02,44.64976612539572,90.56948843394072,57.39895188431856,66.53975470657608,17.38608292214803,109.62302185363147,76.72284244916759,107.49297878243779,266.7534806127943
2018-02-05,44.86848681030205,93.47661248470317,59.755518093122994,67.61047983731746,17.868774859400215,108.46057902366772,75.97639901589088,107.42836943976323,269.046208109588
2018-02-06,44.33065659288925,92.05209800194415,57.640219721863616,66.10799272202732,17.03499420961317,107.00867995653962,74.51121567783834,107.70612896893222,264.12709109883974
2018-02-07,43.22224698991858,92.76030884283409,56.77966499422237,64.68560104700637,17.317508949124576,110.30184544453732,74.12432165132714,107.44597277878609,264.1971720610648
2018-02-08,44.577885807622145,93.68453062153722,57.361529416829185,66.2369042337099,17.929160973836623,110.63532076719915,74.28199315106004,105.98333519100436,254.40664877879914
2018-02-09,44.4073478541931,93.71179038736068,56.97314265569725,66.42580380672861,18.215832459179676,110.71427991291736,74.5798101809918,106.11124935175525,254.5689901441837
2018-02-12,43.88093997544214,93.3258491617794,56.618901910720574,67.73855737490499,18.677559161614248,110.97537774169439,73.7328457677113,105.23961109837991,254.6981278209051
2018-02-13,44.1226132249188,94.19839403083913,55.928379423432304,68.56549455890107,18.962255571592475,109.52229455572014,72.8542874175015,105.53396517711083,254.16705230623393
2018-02-14,43.93375081570223,93.83779132316583,55.589308617820535,68.39321204667422,19.357468638085322,105.76343204934827,71.45341004222672,105.94268428915878,251.31374437112817
2018-02-15,43.68390217856686,91.62707857189739,54.92024751122245,68.90495870064672,18.542878044451868,106.59437917127153,71.3135427467091,106.0535741989041,249.92477533364018
2018-02-16,43.46433655481381,92.69229070643645,55.59499361230457,70.8919753353548,19.210159547693117,107.3946010575158,73.17324601115874,106.3305645754615,253.07269330413385
