Date,SPY,QQQ,AAPL,NVDA
2018-01-01,0.0,0.0,0.0,0.0
2018-01-02,-0.007957492827498518,0.004126011551192071,0.0036145193866894162,-0.001571674252200671
2018-01-03,0.010945291954006236,-0.00459372417724062,0.0022013978063312395,0.01921371320414213
2018-01-04,-0.005237075775295686,-0.006065181017496868,0.0016340470368208103,0.022131377608262528
2018-01-05,0.004473693686076499,0.00749844139370557,-0.008272804760684965,-0.04468327360781424
2018-01-08,0.011378099981435233,0.0013109337657875857,-0.014513448667149122,-5.362847471165563e-05
2018-01-09,-0.01116478050686255,-0.00469444742098132,0.022738734687108218,-0.017857254633889298
2018-01-10,-0.003916544727937912,-0.0060921542150932095,-0.013304547504711751,-0.018776020839489014
2018-01-11,-0.0037564392212735406,-0.012297612859537855,-0.0035061930035356617,0.008521656709779444
2018-01-12,-0.003122935165467122,0.05255897939043726,0.00907548638784838,-0.06426476190358937
2018-01-15,-0.002349570304129413,-0.008954639013850048,-0.0008087684591384644,-0.018909422729239563
2018-01-16,-0.0034052130972402695,0.0007854637517255244,-0.013977259511257868,0.016877254443160284
2018-01-17,0.00913860628654608,0.023098611492866402,0.001658275240542711,-0.0062738535208873986
2018-01-18,0.014075601344580028,-0.020893487611305207,-0.00273901412672174,-0.046692217120292596
2018-01-19,0.005344725594309025,0.0035484030935097406,0.012254654867362963,0.06166730819935496
2018-01-22,-0.011945282110800898,0.016195841823277008,-0.008034222109951725,-0.028848605530911224
2018-01-23,-0.0022027233234946796,-0.023520789701840093,-0.014108012826758588,-0.002204301669071267
2018-01-24,-0.007506447786978658,-0.007948930790190508,-0.006210343047456222,0.01640721848605378
2018-01-25,-0.0037921165826374182,-0.021450550471955415,-0.00027174227277994214,0.00398614394353875
2018-01-26,0.0036569443085638525,0.004722516638413644,0.006655880013332962,-0.024279936242388944
2018-01-29,-0.005983483184980582,-0.029273359950619464,0.006449061052571303,-0.01508070752559322
2018-01-30,-0.007274981281400547,-0.01286483112741768,0.017301268545749527,0.03851176076249633
